شمال,2863,مطهری مفتح
جنوب,413,میدان راه اهن
شمال,4339,میرداماد
جنوب,665,میدان مقدم
جنوب,195,تختی
شمال,492,سید جمال الدین اسد آبادی
جنوب,1066,یافت آباد
شمال,778,قیطریه
شمال,2564,بلوار سامان
شمال,1263,سه راه نشاط
شرق,1231,موتور آب
شرق,578,سمنگان
مستقل مرکزی 3046,3046,برج سپهر
شمال,1330,میدان مادر
شمال,882,نبش میترا
جنوب,129,وحدت اسلامی
شمال,481,کارگر شمالی
جنوب,4,میدان محمدیه
شمال,2857,نبش فجر
جنوب,2868,احمدیه
جنوب,1131,شریف آباد
شرق,3497,بومهن
شرق,1133,مینا
شرق,48,میدان امام حسین
جنوب,2943,چهارراه بعثت
شرق,574,اول نظام آباد
غرب,627,میدان جمهوری
شمال,107,قلهک
شرق,1046,میدان شهید نامجو
شمال,774,زند میرزای شیرازی
شرق,148,فلکه دوم تهرانپارس
جنوب,169,شهر ری
شمال,1238,میدان اسد آبادی
جنوب,4419,بازارمبل ایران
جنوب,600,بازار آهن مکان
جنوب,1735,سه راه ورامین
شمال,700,شهید اکبری
شرق,1997,نبرد جنوبی
جنوب,3199,فیلستان
جنوب,922,میدان مرکزی میوه و تره بار
جنوب,155,ورامین
جنوب,2388,اتوبان افسریه
جنوب,2670,خانی آباد نو
جنوب,1251,پاکدشت
شرق,1332,بیژن
شرق,642,شهید مدنی
شمال,1350,میدان احتشامیه
شمال,2528,بلوار ناهید
شمال,1142,عارف ادیب
غرب,9761,
غرب,744,شادمهر
غرب,328,حسام الدین
غرب,1355,زیبا شهر
غرب,4196,شیر پاستوریزه
غرب,805,ستارخان
جنوب,2503,عارف سعیدی
غرب,4196,شیرپاستوریزه
غرب,822,شهاب خودرو
شمال,2742,شیراز ونک
مرکز,808,صف
مرکز,686,زند و خردمند
مرکز,467,لاله زار جنوبی
شمال,807,نبش سورنا
شمال,2757,شهرک قدس
شمال,558,سهروردی شمالی
غرب,560,آذربایجان
غرب,2605,تهرانسر
غرب,4580,بلوار فردوس شرقی
غرب,2919,سیزده متری حاجیان
شمال,763,میدان فاطمی
شمال,700,شهید اکبری 
شمال,483,میرزای شیرازی
غرب,1654,فلکه دوم صادقیه
غرب,4151,شهرک اکباتان
غرب,2560,خیابان بهبودی
غرب,733,هاشمی غربی
غرب,627, میدان جمهوری
غرب,3027,بلوار استاد معین
غرب,1320,بازار آهن
مرکز,2095,ایرانشهر جنوبی
غرب,2000,نبش اوستا
شمال,1445,چهار  راه قائم
شمال,1445,چهار راه قائم
غرب,4364,بلوار پیامبر
شمال,4449,دکتر نور بخش
شرق,412,شهید عزیزی
مرکز,554,امام خمینی
شرق,1073,رودهن
شرق,4149,بازار مبل دلاوران
شمال,736,میدان فاطمی
شمال,669,خیابان فلسطین شمالی
شمال,373,سید جمال الدین اسد آبادی
مرکز,66,میدان فردوسی
مرکز,1480,صنعتی
مرکز,266,کالج
مرکز,602,کارگر نبش بلوار کشاورز
مرکز,3,فردوسی
شمال,1445,چهار راه قائم مقام
مرکز,2041,دکتر شریعتی
مرکز,1829,شرق انقلاب
مرکز,220,میدان سی و یک شهریور
شرق,612,شکوفه
شرق,2951,فلکه سوم تهران پارس
شمال,2870,نگارستان هشتم
مرکز,76,میدان انقلاب
مرکز,62,سرچشمه
مرکز,2093,بهار جنوبی
مرکز,13,اکباتان
مرکز,276,میدان استقلال
شرق,551,میدان بروجردی
شرق,654,فلکه دوم نیروی هوایی
مرکز,1,بازار
شمال,4530,شیخ بهائی
شرق,3152,فرجام شرقی
شمال,1054,ولیعصر زرتشت
مرکز,419,شهدای آتش نشان
شرق,52,چهار راه شمس
شرق,809,خیابان حسینی
شرق,2606,رسالت
جنوب,2092,شهید انورزاده
شرق,821,بیست متری نبرد
شرق,2951,فلکه سوم تهرانپارس
جنوب,600,بازار اهن مکان
جنوب,2011,شهرک ولیعصر
جنوب,1248,باقر شهر
جنوب,922,میدان مرکزی تره بار
جنوب,1006,سید ملک خاتون
جنوب,157,مختاری
جنوب,1989,نیکو نام شهر ری
شرق,2583,فلکه اول تهرانپارس
جنوب,1733,فلکه چهارم خزانه
شرق,1619,شهید عباسپور
جنوب,413,میدان راه آهن
مرکز,474,طالقانی
جنوب,1472,خیابان زمزم
شمال,599,میدان هدایت
شمال,3135,صاحبقرانیه
شرق,336,باباطاهر
شرق,3172,عباس آباد دولاب
شرق,1081,شهید مخبر (عارف شمالی)
شرق,885,خاقانی
شمال,4410,میلاد نور
غرب,1264,کمیل
شرق,1230,فلکه چهار گوش
شرق,551,میدان جمهوری
شرق,4200,خیابان سی متری آذر
شرق,556,شهید قنبریان
شرق,3057,جاده مازندران
شرق,3087,شهید مدنی
جنوب,996,مهدیه تهران
جنوب,395,شهید رجایی 
